Country,PopulationYoung_Percentage,PopulationOld_Percentage,PopulationDensity,PopulationMidYear,Population,PopulationMidYear_Females,PopulationMidYear_Males,SexRatio_MalesPer100Females
Afghanistan,42.6,4.2,55.7,36.37,36370000,17.64,18.74,106.2
Africa,40.6,5.5,43.4,1287.92,1287920000,644.62,643.3,99.8
Albania,17.1,19.7,107.1,2.93,2930000,1.45,1.48,101.8
Algeria,29.5,9.6,17.6,42.01,42010000,20.79,21.22,102
American Samoa,,,278.4,0.06,60000,,,
Americas,22.4,15.7,26.2,1015.86,1015860000,513.47,502.39,97.8
Andorra,,,163.7,0.08,80000,,,
Angola,46.6,4.1,24.7,30.77,30770000,15.68,15.09,96.3
Anguilla,,,167.2,0.02,20000,,,
Antigua and Barbuda,23.6,11.3,234.2,0.1,100000,0.05,0.05,92.3
Argentina,24.7,15.6,16.3,44.69,44690000,22.81,21.88,95.9
Armenia,20.1,17.5,103.1,2.93,2930000,1.55,1.38,88.8
Aruba,17.7,20.4,587.1,0.11,110000,0.06,0.05,90.3
Asia,24,12.5,146.5,4545.13,4545130000,2219.69,2325.45,104.8
Australia,19.1,21.2,3.2,24.77,24770000,12.43,12.34,99.3
Australia and New Zealand,19.2,21.2,3.7,29.52,29520000,14.85,14.68,98.9
Austria,14.1,25.5,106.2,8.75,8750000,4.46,4.29,96.3
Azerbaijan,23.3,10.6,120.1,9.92,9920000,4.98,4.94,99.3
Bahamas,20.5,14,39.9,0.4,400000,0.2,0.2,96
Bahrain,19.2,4.9,2061.8,1.57,1570000,0.57,0.99,173
Bangladesh,27.8,7.5,1278.1,166.37,166370000,82.51,83.86,101.6
Barbados,18.9,21.6,666,0.29,290000,0.15,0.14,91.8
Belarus,17,21.8,46.6,9.45,9450000,5.05,4.4,87
Belgium,17.2,24.9,379.7,11.5,11500000,5.82,5.68,97.7
Belize,30.9,6.3,16.8,0.38,380000,0.19,0.19,99
Benin,42.4,5,101.9,11.49,11490000,5.75,5.73,99.6
Bermuda,,,1221.4,0.06,60000,,,
Bhutan,26.2,7.5,21.4,0.82,820000,0.38,0.43,112.9
Bolivia (Plurin. State of),31.3,9.6,10.4,11.22,11220000,5.6,5.61,100.2
"Bonaire, St. Eustatius & Saba",,,78.4,0.03,30000,,,
Bosnia and Herzegovina,14.2,23.9,68.7,3.5,3500000,1.78,1.72,96.5
Botswana,31.2,6.5,4.1,2.33,2330000,1.18,1.15,97.8
Brazil,21.4,13.1,25.2,210.87,210870000,107.27,103.6,96.6
British Virgin Islands,,,211.5,0.03,30000,,,
Brunei Darussalam,22.6,8.5,82.4,0.43,430000,0.21,0.22,106
Bulgaria,14.4,27.9,64.8,7.04,7040000,3.62,3.42,94.6
Burkina Faso,44.9,3.9,72.2,19.75,19750000,9.89,9.86,99.6
Burundi,45.1,4.4,436.8,11.22,11220000,5.69,5.52,97
Cabo Verde,29.8,7,137.3,0.55,550000,0.28,0.28,99.4
Cambodia,31.2,7.2,92,16.25,16250000,8.32,7.93,95.3
Cameroon,42.5,4.8,52.2,24.68,24680000,12.33,12.35,100.2
Canada,16.1,24,4.1,36.95,36950000,18.61,18.34,98.5
