Request_Country,Period_Year,MedicineSender,ABARAX_BENZNIDAZOL_50,NIFURTIMOX_LAMPIT_30,NIFURTIMOX_LAMPIT_120,ABARAX_BENZNIDAZOL_12,ABARAX_BENZNIDAZOL_100
Argentine Republic,2007,65465465,954,600,445,223,
Argentine Republic,2008,65465465,876,49000,681,892,
Argentine Republic,2010,65465465,722,36000,518,570,
Argentine Republic,2011,65465465,195,36000,102,302,
Argentine Republic,2012,65465465,435,34424,711,392,
Argentine Republic,2014,65465465,200,100,200,200,
Australia,2009,21749318,421,4,862,65,
Australia,2011,21749318,891,373,580,6,
Australia,2016,21749318,317,1,643,3,
Bolivarian Republic of Venezuela,2007,32169815,136,12000,819,849,
Bolivarian Republic of Venezuela,2013,32169815,207,76000,657,996,
Bolivarian Republic of Venezuela,2014,32169815,986,144000,883,86,
Bolivarian Republic of Venezuela,2015,32169815,954,88400,175,319,
Canada,2011,12316546,423,5,75,713,
Canada,2012,12316546,244,3,354,349,
Canada,2013,12316546,963,3,881,18,
Canada,2014,12316546,963,3,881,18,
Canada,2015,12316546,193,11,743,643,
Canada,2016,12316546,954,4,141,974,
Eastern Republic of Uruguay,2011,21749318,261,130000,599,818,
Eastern Republic of Uruguay,2016,21749318,105,5000,649,566,
Federal Republic of Germany,2014,21749318,762,235,609,7,
Federal Republic of Germany,2015,21749318,203,472,514,2,
Federal Republic of Germany,2016,21749318,554,447,20,20,
Federative Republic of Brazil,2010,21749318,833,1200,154,61,
Federative Republic of Brazil,2013,12316546,911,12000,874,557,
Federative Republic of Brazil,2016,65465465,461,6000,721,320,
French Republic,2010,65432181,963,8,33,914,
French Republic,2012,32164181,24,12,233,171,
French Republic,2016,21749318,495,5,854,637,
Japan,2011,32169815,692,4,701,561,
Japan,2012,32169815,692,4,701,561,
Japan,2013,32169815,692,4,701,561,
Japan,2014,65464844,599,4,35,924,
Kingdom of  the Netherlands,2011,65432181,233,688,155,2,
Kingdom of  the Netherlands,2014,65432181,748,388,407,4,
Kingdom of Belgium,2011,65432181,694,198,952,4,
Kingdom of Belgium,2013,65432181,683,813,945,2,
Kingdom of Belgium,2016,65432181,987,117,391,5,
Kingdom of Denmark,2012,12316546,88,4,450,661,
Kingdom of Denmark,2016,12316546,979,166,704,5,
Kingdom of Spain,2009,12316546,931,30,550,175,
Kingdom of Spain,2010,12316546,75,36,613,251,
Kingdom of Spain,2011,12316546,49,82,770,611,
